Bird ID,Site,Course,Date,Encounter,# shots
211207,TTRS,Anders Flat,2/11/2022,Pointed & Shot,3
220218,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
220219,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
220220,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
217181,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
220233,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
220234,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
211207,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
220250,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
220251,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
220252,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
220253,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
220257,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
220258,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
220259,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
220260,TTRS,Anders Flat,2/11/2022,Pointed & Shot,2
212119,TTRS,Cypress,2/16/2022,Not Encountered,0
220415,TTRS,Cypress,2/16/2022,"Birds held, hunters passed by",0
220422,TTRS,Cypress,2/16/2022,"Birds held, hunters passed by",0
211421,TTRS,Cypress,2/16/2022,"Birds held, hunters passed by",0
220421,TTRS,Cypress,2/16/2022,"Birds held, hunters passed by",0
220414,TTRS,Cypress,2/16/2022,"Birds held, hunters passed by",0
191663,TTRS,Cypress,2/16/2022,"Birds held, hunters passed by",0
220415,TTRS,Cypress,2/16/2022,Pointed & Shot,4
220422,TTRS,Cypress,2/16/2022,Pointed & Shot,4
211421,TTRS,Cypress,2/16/2022,Pointed & Shot,4
220421,TTRS,Cypress,2/16/2022,Pointed & Shot,4
220414,TTRS,Cypress,2/16/2022,Pointed & Shot,4
191663,TTRS,Cypress,2/16/2022,Pointed & Shot,4
211607,TTRS,Cypress,2/16/2022,Not Pointed & Flushed Wild,0
211608,TTRS,Cypress,2/16/2022,Not Pointed & Flushed Wild,0
211609,TTRS,Cypress,2/16/2022,Not Pointed & Flushed Wild,0
211610,TTRS,Cypress,2/16/2022,Not Pointed & Flushed Wild,0
211614,TTRS,Cypress,2/16/2022,Not Pointed & Flushed Wild,0
220450,TTRS,Cypress,2/16/2022,Not Pointed & Flushed Wild,0
220698,TTRS,Cypress,2/16/2022,Pointed & Shot,3
220698,TTRS,Cypress,2/16/2022,"Birds held, hunters passed by",0
220629,TTRS,Cypress,2/16/2022,Pointed & Shot,3
220632,TTRS,Cypress,2/16/2022,Pointed & Shot,3
217124,TTRS,Beadel,2/18/2022,"Birds ran, hunters passed by",0
220030,TTRS,Beadel,2/18/2022,"Birds ran, hunters passed by",0
217124,TTRS,Beadel,2/18/2022,"Birds held, hunters passed by",0
220030,TTRS,Beadel,2/18/2022,"Birds held, hunters passed by",0
201037,TTRS,Beadel,2/18/2022,"Birds ran, hunters passed by",0
220013,TTRS,Beadel,2/18/2022,"Birds ran, hunters passed by",0
212191,TTRS,Beadel,2/18/2022,"Birds ran, hunters passed by",0
212192,TTRS,Beadel,2/18/2022,"Birds ran, hunters passed by",0
212193,TTRS,Beadel,2/18/2022,"Birds ran, hunters passed by",0
212190,TTRS,Beadel,2/18/2022,"Birds ran, hunters passed by",0
220018,TTRS,Beadel,2/18/2022,"Birds ran, hunters passed by",0
211117,TTRS,Beadel,2/18/2022,"Birds ran, hunters passed by",0
220040,TTRS,Beadel,2/18/2022,Not Encountered,0
220038,TTRS,Beadel,2/18/2022,Not Encountered,0
220041,TTRS,Beadel,2/18/2022,Not Encountered,0
210030,TTRS,Beadel,2/18/2022,"Birds held, hunters passed by",0
220095,TTRS,Beadel,2/18/2022,"Birds held, hunters passed by",0
200044,TTRS,Beadel,2/18/2022,"Birds held, hunters passed by",0
212164,TTRS,Beadel,2/18/2022,"Birds held, hunters passed by",0
210030,TTRS,Beadel,2/18/2022,"Birds held, hunters passed by",0
220095,TTRS,Beadel,2/18/2022,"Birds held, hunters passed by",0
200044,TTRS,Beadel,2/18/2022,"Birds held, hunters passed by",0
212164,TTRS,Beadel,2/18/2022,"Birds held, hunters passed by",0
211109,TTRS,Beadel,2/18/2022,Not Pointed & Flushed Wild,0
210017,TTRS,Beadel,2/18/2022,Not Pointed & Flushed Wild,0
191122,TTRS,Beadel,2/18/2022,Not Pointed & Flushed Wild,0
211108,TTRS,Beadel,2/18/2022,Not Pointed & Flushed Wild,0
211107,TTRS,Beadel,2/18/2022,Not Pointed & Flushed Wild,0
211121,TTRS,Beadel,2/18/2022,Not Encountered,0
211119,TTRS,Beadel,2/18/2022,Not Encountered,0
212002,TTRS,Buttler,2/18/2022,Pointed & Shot,4
212007,TTRS,Buttler,2/18/2022,Pointed & Shot,4
211407,TTRS,Buttler,2/18/2022,Pointed & Shot,3
211429,TTRS,Buttler,2/18/2022,Pointed & Shot,3
211407,TTRS,Buttler,2/18/2022,"Birds held, hunters passed by",0
220608,TTRS,Buttler,2/18/2022,Pointed & Shot,4
220609,TTRS,Buttler,2/18/2022,Pointed & Shot,4
220611,TTRS,Buttler,2/18/2022,Pointed & Shot,4
220614,TTRS,Buttler,2/18/2022,Pointed & Shot,4
220489,TTRS,Buttler,2/18/2022,Pointed & Shot,4
220490,TTRS,Buttler,2/18/2022,Pointed & Shot,4
220424,TTRS,Buttler,2/18/2022,Pointed & Shot,4
220487,TTRS,Buttler,2/18/2022,Pointed & Shot,4
220510,TTRS,Buttler,2/18/2022,Pointed & Shot,2
